id;il1;in1;in2;cu1;il2;in3;in4;de1;cu2;il3;in5;de2;cu3;in6;il4;cu4;de3;de4;il5;cu5
97;3;1;1;0;3;0;0;2;2;3;0;2;2;2;3;1;1;2;2;2
98;4;4;1;1;4;2;0;4;2;1;3;4;1;3;4;2;4;4;3;1
99;4;3;0;1;3;1;0;3;3;3;1;2;1;1;3;1;3;2;3;1
100;3;1;1;1;3;2;0;1;1;3;1;1;1;2;3;1;4;3;3;1
101;3;2;2;1;3;3;1;3;1;3;2;2;1;0;3;1;2;0;3;1
102;3;2;2;0;3;1;0;0;0;4;3;0;0;2;4;0;2;2;3;0
103;2;0;0;0;3;2;0;3;1;3;1;3;0;0;3;1;3;2;2;0
104;4;1;1;1;4;1;0;2;1;4;1;0;1;1;4;2;1;1;3;1
105;4;1;1;1;4;0;1;3;1;4;1;1;1;1;4;1;1;1;4;1
106;3;1;1;1;3;1;1;1;1;3;0;1;0;0;3;1;1;0;3;0
107;4;0;0;1;4;1;0;4;1;4;1;4;1;1;4;1;2;2;4;1
108;4;3;0;1;3;1;0;3;3;3;1;2;1;1;3;1;3;2;3;1
109;3;2;1;0;3;1;0;3;0;3;2;2;0;2;2;0;2;3;2;0
110;3;0;0;0;3;0;0;2;1;3;0;0;0;0;4;0;2;2;4;0
111;3;2;1;1;3;2;1;2;2;3;1;2;2;3;3;1;2;2;3;2
112;3;1;1;0;4;2;1;3;0;4;3;3;0;1;4;0;2;2;3;0
113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0
114;2;1;0;0;3;0;0;3;2;2;2;2;1;1;3;0;3;3;2;2
115;2;1;1;1;2;1;1;2;1;2;1;2;1;1;2;1;2;2;2;1
116;2;2;2;3;1;0;3;3;3;2;3;2;2;4;1;2;2;2;2;2
117;3;2;1;2;3;2;1;3;2;3;1;2;2;1;3;1;3;1;3;1
118;2;2;3;2;3;1;0;3;1;3;1;3;1;1;3;1;3;3;2;1
119;3;1;2;0;3;1;1;3;1;3;1;3;1;2;3;0;3;2;3;1
120;4;1;1;1;3;0;0;2;0;4;2;2;0;1;4;1;3;1;4;1
121;2;2;1;0;3;2;1;0;1;3;1;0;1;1;3;1;3;3;3;1
122;3;1;0;0;4;1;0;2;1;4;1;2;1;0;4;1;2;1;4;0
123;3;4;2;2;0;1;0;3;0;3;3;2;0;1;3;2;2;2;3;2
124;3;1;0;0;4;1;0;2;0;4;1;2;0;1;4;2;1;2;4;0
125;4;1;1;1;4;1;0;0;1;4;3;1;1;1;3;1;1;1;3;1
126;3;1;0;0;3;0;0;2;0;3;0;2;0;0;3;0;1;0;3;0
127;4;2;1;3;4;1;1;0;2;4;1;0;1;2;4;2;0;0;4;1
128;4;0;1;1;4;1;0;2;0;4;2;0;0;1;4;1;2;2;4;0
129;3;2;1;0;3;1;1;1;0;3;1;2;0;0;3;1;1;0;3;0
130;2;1;0;4;3;2;1;2;1;4;0;2;0;1;3;1;1;2;3;0
131;3;0;0;0;4;0;0;2;1;4;0;2;0;0;4;1;1;1;4;0
132;3;1;1;1;4;0;0;1;1;4;1;0;1;1;4;1;0;1;4;1
133;4;2;2;4;4;2;0;4;0;4;2;2;1;0;4;1;2;2;4;0
134;1;4;4;1;1;4;1;2;1;1;4;2;1;4;1;1;1;4;1;1
135;2;1;1;3;3;0;1;2;2;3;0;2;2;1;3;3;2;2;3;2
136;4;1;1;1;4;1;0;2;1;4;0;1;1;1;4;1;1;1;4;1
137;4;3;1;2;2;0;1;0;2;4;3;1;2;2;4;1;2;0;4;2
138;4;1;2;1;4;1;1;1;0;4;4;1;1;2;4;1;2;2;4;1
139;3;2;1;1;3;1;0;3;1;2;3;2;1;2;3;1;2;2;3;1
140;4;0;0;1;4;0;0;3;1;4;0;2;0;1;3;1;2;2;4;1
141;2;2;2;0;3;2;0;3;1;2;2;3;1;2;2;1;2;3;3;1
142;4;1;0;0;4;0;0;2;2;4;0;3;3;1;4;1;3;3;4;1
143;4;0;1;0;4;0;0;1;0;4;1;1;0;0;3;2;0;1;4;1
144;3;1;1;1;3;1;0;2;1;3;0;2;1;1;3;1;2;1;3;1
145;4;2;1;1;3;1;1;0;1;4;0;1;1;1;4;1;2;0;4;1
146;3;0;0;0;4;0;0;0;0;4;0;2;0;0;4;0;2;1;4;0
147;3;1;1;0;4;1;0;1;1;4;1;1;0;0;3;1;1;1;3;1
148;4;0;0;1;4;0;1;2;1;4;1;1;1;1;4;2;1;1;4;1
149;3;0;0;1;3;0;0;2;1;4;1;3;2;0;3;1;2;2;4;1
150;4;0;1;1;4;1;0;1;0;4;1;1;0;1;4;1;1;0;4;0
151;4;0;0;0;4;0;0;1;0;4;0;1;0;0;4;0;0;0;4;0
152;4;0;0;1;4;0;0;2;0;4;4;2;1;1;4;1;3;2;4;0
153;3;1;1;1;4;1;0;1;1;3;1;2;1;2;4;1;2;2;3;1
154;3;0;1;0;3;1;0;2;1;3;2;2;1;0;3;1;2;2;2;1
155;4;0;0;0;3;0;0;1;0;4;0;0;0;0;4;0;1;1;4;0
156;1;0;1;1;1;0;1;2;1;2;3;1;1;0;2;1;2;2;1;1
157;3;2;3;1;2;3;0;2;1;1;1;3;0;1;3;1;3;4;3;1
158;4;0;2;0;3;2;0;3;1;4;1;3;1;2;4;1;4;1;3;1
159;3;2;1;2;3;0;1;3;1;3;2;2;1;1;3;1;3;3;2;1
160;3;2;1;1;3;1;1;2;2;3;1;1;1;2;3;1;2;2;3;1
161;3;1;1;2;4;1;1;2;1;4;2;2;1;2;4;1;2;1;4;1
162;4;0;1;0;4;0;0;0;1;4;0;0;1;2;4;1;2;0;4;1
163;2;2;1;2;4;1;1;3;1;4;3;3;1;0;4;1;2;2;3;0
164;3;1;1;2;4;2;1;0;1;4;1;1;0;1;4;0;2;1;4;0
165;4;2;2;0;4;3;0;4;1;4;2;4;2;2;4;0;4;4;4;1
166;3;0;1;1;4;1;0;1;1;4;1;1;1;0;4;2;1;0;4;2
167;4;0;0;3;4;0;1;2;2;3;1;1;2;2;4;4;2;1;4;3
168;4;0;0;1;4;2;1;1;1;4;0;0;0;0;4;1;0;0;4;0
169;2;1;2;0;3;1;0;2;1;3;0;2;1;2;3;1;2;1;3;1
170;4;0;0;0;4;0;0;2;0;4;0;1;0;0;4;1;1;1;4;0
171;4;1;1;1;4;1;1;3;1;4;1;3;1;1;4;1;2;3;4;1
172;2;1;1;1;3;2;1;2;2;3;2;2;1;1;3;1;1;2;2;2
173;3;1;2;2;3;1;1;1;1;3;3;2;2;3;3;2;3;2;3;3
174;3;0;1;1;4;0;0;0;0;4;0;0;0;1;4;0;0;0;4;0
175;4;1;2;2;4;2;1;3;2;4;2;2;2;2;4;2;4;3;4;2
176;3;0;1;2;3;1;1;0;2;4;1;0;0;2;4;3;0;2;3;2
177;2;0;0;1;2;1;0;4;3;2;1;4;2;3;2;0;4;4;2;2
178;3;1;2;1;3;2;0;3;2;3;2;3;1;1;3;1;3;3;3;1
179;2;1;1;0;3;2;0;2;2;3;1;2;0;2;3;1;2;1;3;0
180;3;2;1;1;4;3;1;1;1;4;3;1;1;2;4;1;3;1;4;1
181;4;0;0;1;4;0;0;2;0;4;1;2;0;1;4;1;2;1;4;0
182;4;0;1;1;4;1;0;1;0;3;1;1;0;1;4;0;1;0;3;1
183;3;1;1;0;3;1;0;2;1;3;2;1;1;2;4;1;1;0;3;1
184;3;1;1;1;2;2;1;1;2;3;0;1;1;1;3;1;2;1;3;1
185;2;1;1;1;3;2;2;1;2;4;2;1;1;3;3;2;1;1;3;1
186;3;0;0;4;4;0;0;0;0;4;2;0;0;1;4;1;1;1;4;1
187;4;1;1;2;4;1;0;1;1;4;0;0;1;2;4;1;1;0;4;2
188;3;0;0;1;3;1;1;3;3;3;2;2;2;1;3;1;3;3;2;2
189;2;4;4;0;2;0;0;2;0;2;4;3;0;2;2;0;2;3;2;0
190;2;1;0;3;3;1;0;1;2;3;2;1;2;1;2;1;1;2;3;1
191;3;1;0;0;3;0;0;1;1;3;1;1;1;0;4;0;2;2;4;1
192;4;0;1;0;4;1;1;2;1;4;0;1;0;0;4;0;3;1;3;1
193;2;0;0;0;4;0;0;1;1;4;2;1;1;1;4;2;2;0;4;1
194;3;1;0;1;4;1;0;3;0;3;1;2;0;1;3;1;2;1;3;1
195;4;1;2;0;4;1;0;2;1;4;2;2;1;1;4;2;2;2;4;1
196;3;1;1;2;3;1;1;3;2;2;2;2;2;2;3;2;1;2;3;2
197;2;2;2;1;3;2;2;2;1;3;2;2;1;1;3;1;2;2;2;1
