id;e1;a1;d1;a2;d2;e2;a3;e3;a4;d3;e4;e5;d4;e6;a5;d5;d6;e7;a6;a7;d7
150;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0
151;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0
152;2;2;0;0;0;1;0;1;0;0;1;2;1;0;0;0;0;2;0;0;0
153;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
154;3;1;1;0;0;1;0;1;0;0;0;2;0;0;0;0;0;1;0;1;0
155;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
156;1;1;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0
157;3;2;2;1;2;2;0;2;0;0;1;2;2;0;0;2;1;2;1;0;0
158;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0
159;2;1;1;0;0;1;0;1;1;0;1;2;2;1;1;2;0;3;1;1;1
160;2;1;2;0;1;1;0;1;1;0;1;1;2;1;0;1;2;1;0;0;1
161;1;3;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;1;0;0
162;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
163;2;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0
164;1;1;0;1;1;0;1;1;2;0;1;1;1;0;1;1;1;0;1;1;0
165;3;3;1;1;0;1;0;3;0;0;1;3;1;2;0;0;1;2;1;0;0
166;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
167;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
171;1;0;0;0;1;1;2;2;2;0;1;1;0;0;0;0;0;0;0;1;0
172;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
173;2;1;1;0;0;1;0;1;3;0;1;2;1;1;0;1;1;2;1;0;0
174;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;1;0;1;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;1;1;0
176;1;1;2;1;0;1;0;1;1;2;1;1;3;2;1;1;1;1;1;2;1
177;3;0;1;0;2;1;1;2;1;0;1;2;1;1;0;0;1;2;1;0;0
178;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
180;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0
181;1;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;0
182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
185;1;0;1;1;2;1;1;1;1;0;1;1;1;2;0;1;1;0;2;1;1
186;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;1;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;0
188;1;0;2;0;1;2;0;2;1;1;1;1;2;1;0;0;2;2;2;1;2
189;3;3;2;0;2;0;2;3;3;2;1;2;2;1;1;1;1;1;3;3;1
190;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1
191;2;1;1;0;2;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0
192;3;2;0;1;1;2;1;2;1;3;1;2;2;1;1;1;1;1;1;1;1
193;1;0;0;1;2;1;0;2;1;0;1;1;0;1;0;0;0;0;1;0;0
194;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
196;1;0;1;0;1;1;0;0;0;0;0;1;1;1;0;2;1;1;0;0;0
197;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
199;3;1;1;0;1;1;0;0;0;0;1;3;0;1;0;0;0;1;1;1;0
200;2;1;1;1;0;0;0;1;1;0;1;2;0;0;0;0;0;0;1;0;0
201;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0
202;1;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
203;3;0;0;0;0;1;0;1;0;0;1;2;0;1;0;0;0;1;1;0;0
204;1;1;0;1;0;0;0;1;0;0;0;0;1;3;0;0;0;0;1;0;0
205;3;1;1;1;0;1;0;1;0;0;0;2;1;0;0;0;0;0;1;0;0
206;2;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0
207;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
208;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
209;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
210;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0
211;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0
212;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;1;0
213;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0
214;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0
215;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
216;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
217;2;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
218;2;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0
219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;1;0;1;0;1;1;0;0;1;1;0;1;2;0;0;0;0;0;1;0;0
221;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
222;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0
223;2;1;1;1;1;2;1;2;1;0;1;1;1;0;0;0;0;2;1;1;0
224;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
226;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0
227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;0
229;1;1;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232;3;0;1;1;0;2;1;1;1;0;1;1;0;1;0;0;0;1;1;0;0
233;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
237;1;1;0;2;0;1;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0
238;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;0
239;2;1;0;0;1;0;0;1;2;0;1;2;0;0;0;0;0;1;0;0;0
240;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
242;1;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0
243;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
244;1;2;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0
245;2;1;1;0;0;2;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0
246;1;3;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0
247;0;0;1;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0
248;3;0;0;0;1;1;1;3;3;0;3;3;1;0;3;0;0;3;1;3;0
249;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
250;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0
251;2;1;1;0;2;0;0;1;2;1;1;1;2;0;0;1;1;2;0;1;1
252;2;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1
253;2;1;2;1;2;2;0;2;0;0;1;2;1;1;1;1;0;2;0;0;0
254;3;1;2;3;2;1;0;2;3;3;2;3;3;2;2;3;2;1;2;2;3
255;2;2;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0
256;1;1;0;0;1;2;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0
257;3;3;1;0;0;2;1;3;0;0;0;3;1;0;0;3;0;3;1;1;0
